id,name,year,genre
movie_1,The Shawshank Redemption,1994,Drama
movie_2,The Godfather,1972,Crime&Drama
movie_3,The Godfather: Part II,1974,Crime&Drama
movie_4,The Dark Knight,2008,Action&Crime&Drama
movie_5,12 Angry Men,1957,Drama
movie_6,Schindler's List,1993,Biography&Drama&History
movie_7,The Lord of the Rings: The Return of the King,2003,Adventure&Drama&Fantasy 
movie_8,Pulp Fiction,1994,Crime&Drama
movie_9,The Good the Bad and the Ugly,1966,Western
movie_10,The Lord of the Rings: The Fellowship of the Ring,2001,Adventure&Drama&Fantasy